correct_ans,images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
left,images/gorilla_face.jpeg,0,0,0,0,left,1,0.951934814453,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
left,images/gorilla_fat.jpeg,0,1,1,1,left,1,0.629203796387,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
up,images/santa_hog.jpeg,0,2,2,9,up,1,1.09903407097,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
up,images/marshmallow_hog.jpeg,0,3,3,8,up,1,0.613467931747,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
up,images/icecream_hog.jpeg,0,4,4,7,up,1,0.596848011017,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
up,images/egg_hog.jpeg,0,5,5,6,up,1,0.798055171967,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
left,images/gorilla_tongue.jpeg,0,6,6,2,left,1,0.61622095108,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
right,images/cat_eyes.jpeg,0,7,7,3,right,1,0.594118118286,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
right,images/rat_cat.jpeg,0,8,8,5,right,1,0.613656997681,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
right,images/ear_muffs_cat.jpeg,0,9,9,4,right,1,0.546955823898,2015_Jul_01_0935,59.7279258368,visneuro_demo,001,001,
